Eiendom,Spotprisår,Kostnad for vannbåren varme (kr),Kilde vannbåren varme,Kilde andre kostnader,Beregningstid (år),Diskonteringsrente (%),Nåverdi bergvarme (kr),Nåverdi luft-luft-varmepumpe (kr),Differanse (kr),Forklaring
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,60,5,34116,-151650,185766,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,30,6,-116100,-218834,102734,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,40,6,-71694,-212898,141204,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,50,6,-57453,-203406,145953,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Asplan Viak,60,6,-43607,-193865,150258,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,30,4,-160221,-251253,91032,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,40,4,-97324,-251148,153824,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,50,4,-77447,-240043,162596,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,60,4,-48742,-220063,171321,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,30,5,-196134,-273947,77813,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,40,5,-150765,-275144,124379,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,50,5,-138335,-267581,129246,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,60,5,-121236,-255679,134443,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,30,6,-226543,-292808,66265,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,40,6,-193692,-294605,100913,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,50,6,-185904,-289431,103527,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Asplan Viak,60,6,-175661,-282301,106640,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,30,4,259984,240428,19556,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,40,4,351651,284932,66719,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,50,4,402371,323493,78878,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,60,4,444207,352329,91878,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,30,5,199390,197825,1565,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,40,5,265511,229382,36129,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,50,5,298460,254880,43580,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,60,5,323381,272056,51325,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,30,6,148322,162119,-13797,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,40,6,196198,184570,11628,Bergvarme er lønnsom
